ID_TEAM,EQUIPO,J,G,E,P,GF,GC,DIF,PTS,LIGA,CREATED_AT
2248,OPortimonense,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
4769,Rio Ave,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
4240,SC Farense,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
8565,GBraga,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
7369,Sporting CP,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
6928,Guimaraes,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
6578,Vizela,0,0,0,0,0,0,0,0,PORTUGAL,2023-07-19
9024,Z Alkmaar,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
6288,XAjax Amsterdam,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
1889,ere CityAlmere City,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
9140,Excelsior,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
2389,FC Twente,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
7018,FC Utrecht,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
6288,VolendamFC Volendam,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
4617,Feyenoord Rotterdam,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
1470,tunaFortuna Sittard,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
8589,AheadGo Ahead Eagles,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
3544,Heracles Almelo,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
9979,NEC Nijmegen,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
7785,PEC Zwolle,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
7242,PSV Eindhoven,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
2981,RKC Waalwijk,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
2573,RotterdamSparta Rotterdam,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
9348,Vitesse,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
3172,Heerenveen,0,0,0,0,0,0,0,0,HOLANDA,2023-07-19
